Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.88      1.13     0.01        1    10.00    20.01  std::vector<int, std::allocator<int> >* std::__uninitialized_move_if_noexcept_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.44      1.13     0.01   526199     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.44      1.14     0.01                             std::enable_if<std::allocator_traits<std::allocator<int> >::__destroy_helper<int>::value, void>::type std::allocator_traits<std::allocator<int> >::_S_destroy<int>(std::allocator<int>&, int*)
  0.44      1.14     0.01                             operator delete(void*, void*)
  0.00      1.14     0.00 13522726     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      1.14     0.00  9000067     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      1.14     0.00  6000049     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00      1.14     0.00  6000042     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<int> >::__maxsize_helper<std::allocator<int> const>::value, unsigned long>::type std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const>(std::allocator<int> const&)
  0.00      1.14     0.00  6000039     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      1.14     0.00  6000034     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00      1.14     0.00  6000033     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
